cluster_id	company_id	company	patent_id	local_radius	remote_radius	number_of_inventors	locations	center_lat	center_lng	state	country	geographical_relationship	haversine_distance_to_local
1	000607fc-cea0-535c-6324-e83ba07c8cc7	biovigilant systems	7053783	70	70	1	(32.7153 -117.1564)	32.7153	-117.1564	CA	US	domestic	N/A
2	000607fc-cea0-535c-6324-e83ba07c8cc7	biovigilant systems	7053783	70	70	1	(32.2217 -110.9258)	32.2217	-110.9258	AZ	US	domestic	587.0000635994853
3	000607fc-cea0-535c-6324-e83ba07c8cc7	biovigilant systems	7430046	70	70	3	(32.2217 -110.9258); (32.2217 -110.9258); (32.3908 -110.9658)	32.2217	-110.9258	AZ	US	domestic	N/A
4	000607fc-cea0-535c-6324-e83ba07c8cc7	biovigilant systems	7738099	70	70	2	(32.2217 -110.9258); (32.2217 -110.9258)	32.2217	-110.9258	AZ	US	domestic	N/A
5	000607fc-cea0-535c-6324-e83ba07c8cc7	biovigilant systems	8218144	70	70	3	(32.2217 -110.9258); (32.2217 -110.9258); (32.3908 -110.9658)	32.2217	-110.9258	AZ	US	domestic	N/A
6	0025a95c-1fb2-4168-936a-a2b0c73b4260	northwest research, inc.	6322871	70	70	2	(47.2531 -122.4431); (47.8108 -122.3761)	47.2531	-122.4431	WA	US	domestic	N/A
7	0025a95c-1fb2-4168-936a-a2b0c73b4260	northwest research, inc.	8646810	70	70	1	(41.0322 -111.9014)	41.0322	-111.9014	UT	US	domestic	N/A
8	0025a95c-1fb2-4168-936a-a2b0c73b4260	northwest research, inc.	9207774	70	70	1	(41.0322 -111.9014)	41.0322	-111.9014	UT	US	domestic	N/A
9	002a865a-d42d-49db-ad53-4d0e9e4e96aa	future route	7885915	70	70	6	(51.5112 -0.1198); (50.8333 -0.15); (51.1333 0.2833); (51.1333 0.2833); (51.1333 0.2833); (51.5112 -0.1198)	51.1333	0.2833	N/A	GB	domestic	N/A
10	002a865a-d42d-49db-ad53-4d0e9e4e96aa	future route	8359329	70	70	1	(51.5112 -0.1198)	51.5112	-0.1198	N/A	GB	domestic	N/A
11	002a865a-d42d-49db-ad53-4d0e9e4e96aa	future route	9031873	70	70	3	(51.4485 -0.9936); (51.5112 -0.1198); (51.2667 0.2)	51.5112	-0.1198	N/A	GB	domestic	N/A
12	002a865a-d42d-49db-ad53-4d0e9e4e96aa	future route	9031873	70	70	1	(45.4993 2.6325)	45.4993	2.6325	N/A	FR	cross border	698.4344698971596
13	002e7723-ca64-a785-590c-198524743de5	raven biotechnologies	6416999	70	70	1	(37.5986 -122.3861)	37.5986	-122.3861	CA	US	domestic	N/A
14	002e7723-ca64-a785-590c-198524743de5	raven biotechnologies	6416999	70	70	1	(32.8328 -117.2713)	32.8328	-117.2713	CA	US	domestic	704.5372751361709
15	002e7723-ca64-a785-590c-198524743de5	raven biotechnologies	6436704	70	70	2	(37.5986 -122.3861); (37.5986 -122.3861)	37.5986	-122.3861	CA	US	domestic	N/A
16	002e7723-ca64-a785-590c-198524743de5	raven biotechnologies	6541225	70	70	1	(32.8472 -117.2733)	32.8472	-117.2733	CA	US	domestic	N/A
17	002e7723-ca64-a785-590c-198524743de5	raven biotechnologies	6893871	70	70	3	(37.5986 -122.3861); (37.5986 -122.3861); (37.3853 -122.1131)	37.5986	-122.3861	CA	US	domestic	N/A
18	002e7723-ca64-a785-590c-198524743de5	raven biotechnologies	6927061	70	70	3	(37.5986 -122.3861); (37.5986 -122.3861); (37.3853 -122.1131)	37.5986	-122.3861	CA	US	domestic	N/A
19	002e7723-ca64-a785-590c-198524743de5	raven biotechnologies	6987024	70	70	2	(37.5986 -122.3861); (37.3853 -122.1131)	37.5986	-122.3861	CA	US	domestic	N/A
20	002e7723-ca64-a785-590c-198524743de5	raven biotechnologies	6987024	70	70	1	(32.8472 -117.2733)	32.8472	-117.2733	CA	US	domestic	703.1879740165592
