cluster_id	company_id	company	patent_id	local_radius	remote_radius	number_of_inventors	locations	center_lat	center_lng	state	country	geographical_relationship	haversine_distance_to_local
1	18559d45-1d43-6e73-b186-a42d27c85802	azbil corp	8647860	70	70	1	(32.2217 -110.9258)	32.2217	-110.9258	AZ	US	domestic	N/A
2	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	macrogenics	8802091	70	70	3	(39.0444 -77.1192); (39.1033 -77.2911); (38.9806 -77.1006)	39.0444	-77.1192	MD	US	domestic	N/A
3	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	macrogenics	8802091	70	70	1	(37.775 -122.4183)	37.775	-122.4183	CA	US	domestic	3908.1539992588764
4	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	macrogenics	9150656	70	70	3	(39.0444 -77.1192); (39.1033 -77.2911); (38.9806 -77.1006)	39.0444	-77.1192	MD	US	domestic	N/A
5	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	macrogenics	9150656	70	70	1	(37.775 -122.4183)	37.775	-122.4183	CA	US	domestic	3908.1539992588764
6	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	macrogenics	9441049	70	70	3	(39.0444 -77.1192); (39.1033 -77.2911); (38.9806 -77.1006)	39.0444	-77.1192	MD	US	domestic	N/A
7	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	macrogenics	9441049	70	70	1	(37.775 -122.4183)	37.775	-122.4183	CA	US	domestic	3908.1539992588764
8	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	macrogenics	9714295	70	70	3	(39.0444 -77.1192); (39.1033 -77.2911); (38.9806 -77.1006)	39.0444	-77.1192	MD	US	domestic	N/A
9	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	macrogenics	9714295	70	70	1	(37.775 -122.4183)	37.775	-122.4183	CA	US	domestic	3908.1539992588764
10	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	macrogenics	9714296	70	70	3	(39.0444 -77.1192); (39.1033 -77.2911); (38.9806 -77.1006)	39.0444	-77.1192	MD	US	domestic	N/A
11	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	macrogenics	9714296	70	70	1	(37.775 -122.4183)	37.775	-122.4183	CA	US	domestic	3908.1539992588764
12	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	macrogenics	9896508	70	70	3	(39.0828 -77.2653); (39.1033 -77.2911); (38.9806 -77.1006)	39.0828	-77.2653	MD	US	domestic	N/A
13	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	macrogenics	9896508	70	70	1	(37.775 -122.4183)	37.775	-122.4183	CA	US	domestic	3894.914021414236
14	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	7655016	70	70	5	(37.4419 -122.1419); (37.3689 -122.0353); (37.3394 -121.8939); (37.4241 -122.1661); (37.4419 -122.1419)	37.4419	-122.1419	CA	US	domestic	N/A
15	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8323304	70	70	2	(37.3842 -122.2342); (37.3842 -122.2342)	37.3842	-122.2342	CA	US	domestic	N/A
16	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8328717	70	70	1	(41.3967 -73.0764)	41.3967	-73.0764	CT	US	domestic	N/A
17	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8343151	70	70	1	(39.7392 -104.9842)	39.7392	-104.9842	CO	US	domestic	N/A
18	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8346328	70	70	1	(37.3842 -122.2342)	37.3842	-122.2342	CA	US	domestic	N/A
19	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8352004	70	70	1	(37.3842 -122.2342)	37.3842	-122.2342	CA	US	domestic	N/A
20	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8357157	70	70	1	(37.4539 -122.1811)	37.4539	-122.1811	CA	US	domestic	N/A
21	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8361061	70	70	1	(37.4539 -122.1811)	37.4539	-122.1811	CA	US	domestic	N/A
22	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8364220	70	70	1	(40.1672 -105.1014)	40.1672	-105.1014	CO	US	domestic	N/A
23	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8372014	70	70	1	(41.3958 -72.8972)	41.3958	-72.8972	CT	US	domestic	N/A
24	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8386010	70	70	1	(37.4853 -122.2353)	37.4853	-122.2353	CA	US	domestic	N/A
25	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8403197	70	70	1	(34.4358 -119.8267)	34.4358	-119.8267	CA	US	domestic	N/A
26	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8409084	70	70	1	(41.3967 -73.0764)	41.3967	-73.0764	CT	US	domestic	N/A
27	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8414486	70	70	1	(41.3967 -73.0764)	41.3967	-73.0764	CT	US	domestic	N/A
28	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8414604	70	70	1	(37.4539 -122.1811)	37.4539	-122.1811	CA	US	domestic	N/A
29	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8443294	70	70	1	(32.5839 -117.1122)	32.5839	-117.1122	CA	US	domestic	N/A
30	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8500770	70	70	2	(37.3842 -122.2342); (37.3842 -122.2342)	37.3842	-122.2342	CA	US	domestic	N/A
31	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8529566	70	70	1	(39.7392 -104.9842)	39.7392	-104.9842	CO	US	domestic	N/A
32	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8535290	70	70	3	(37.4419 -122.1419); (37.2267 -121.9736); (37.2872 -121.9489)	37.4419	-122.1419	CA	US	domestic	N/A
33	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8545447	70	70	5	(37.4419 -122.1419); (37.3689 -122.0353); (37.2267 -121.9736); (37.3689 -122.0353); (37.4419 -122.1419)	37.4419	-122.1419	CA	US	domestic	N/A
34	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8562673	70	70	7	(38.4406 -122.7133); (38.4406 -122.7133); (38.4406 -122.7133); (38.4406 -122.7133); (38.4406 -122.7133); (38.4406 -122.7133); (37.9736 -122.53)	38.4406	-122.7133	CA	US	domestic	N/A
35	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8579177	70	70	1	(41.3958 -72.8972)	41.3958	-72.8972	CT	US	domestic	N/A
36	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8579919	70	70	1	(37.3861 -122.0828)	37.3861	-122.0828	CA	US	domestic	N/A
37	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8579926	70	70	1	(32.7153 -117.1564)	32.7153	-117.1564	CA	US	domestic	N/A
38	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8622916	70	70	1	(32.5839 -117.1122)	32.5839	-117.1122	CA	US	domestic	N/A
39	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8628523	70	70	1	(37.3689 -122.0353)	37.3689	-122.0353	CA	US	domestic	N/A
40	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8663213	70	70	1	(37.775 -122.4183)	37.775	-122.4183	CA	US	domestic	N/A
41	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8663304	70	70	1	(33.4269 -117.6111)	33.4269	-117.6111	CA	US	domestic	N/A
42	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8672933	70	70	1	(37.3689 -122.0353)	37.3689	-122.0353	CA	US	domestic	N/A
43	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8700116	70	70	1	(40.2247 -105.2708)	40.2247	-105.2708	CO	US	domestic	N/A
44	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8721639	70	70	1	(37.4539 -122.1811)	37.4539	-122.1811	CA	US	domestic	N/A
45	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8740893	70	70	1	(37.3689 -122.0353)	37.3689	-122.0353	CA	US	domestic	N/A
46	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8747434	70	70	1	(39.7392 -104.9842)	39.7392	-104.9842	CO	US	domestic	N/A
47	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8758243	70	70	1	(34.2175 -118.3694)	34.2175	-118.3694	CA	US	domestic	N/A
48	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8764765	70	70	1	(41.3967 -73.0764)	41.3967	-73.0764	CT	US	domestic	N/A
49	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8784333	70	70	1	(37.3542 -121.9542)	37.3542	-121.9542	CA	US	domestic	N/A
50	d5b9d6ac-97a8-1abf-c138-5c548d4acb38	medtronic	8795266	70	70	1	(37.4539 -122.1811)	37.4539	-122.1811	CA	US	domestic	N/A
