company	id	M1_num_clusters	M2_num_clusters	M1_num_remote_clusters	M2_num_remote_clusters	M1_HQ_state	M1_HQ_country	M1_HQ_coordinates	M2_HQ_state	M2_HQ_country	M2_HQ_coordinates	HQ1-HQ2_distance	average_cluster_distance	median_cluster_distance	sd	pairs
hggc	101d74ca-6b9d-11ba-6647-648e5767f6a3	1	1	0	0	MA	US	(42.6111, -71.575)	MA	US	(42.6111, -71.575)	0.0	0.0	0.0	N/A	((42.6111, -71.575)-('42.6111', '-71.575'))
softbank robotics holdings	e1d57673-6a60-14bc-7214-b0d9719c417d	1	1	0	0		FR	(48.8566, 2.3522)		FR	(48.8566, 2.3522)	0.0	0.0	0.0	N/A	((48.8566, 2.3522)-('48.8566', '2.3522'))
comcast	fbc7746d-86e0-8fd6-19d8-69280c686d02	4	4	3	3	CO	US	(39.5539, -104.9689)	PA	US	(39.9522, -75.1642)	2536.3798351526407	0.0	0.0	0.0	((39.5539, -104.9689)-('39.5539', '-104.9689')); ((39.9522, -75.1642)-('39.9522', '-75.1642')); ((42.5256, -71.0958)-('42.5256', '-71.0958')); ((37.8217, -121.9989)-('37.8217', '-121.9989'))
sartorius ag	ddca959e-c353-9394-a045-7c032fd080e8	1	1	0	0	NC	US	(36.0753, -79.1)	NC	US	(36.0753, -79.1)	0.0	0.0	0.0	N/A	((36.0753, -79.1)-('36.0753', '-79.1'))
thin film electronics	aeb9a18e-6a11-7c6e-4f8f-ffab02cc6d76	2	2	1	1	CA	US	(37.4283, -121.9056)	TX	US	(29.5633, -95.2858)	2608.0362534011733	0.0	0.0	N/A	((37.4283, -121.9056)-('37.4283', '-121.9056')); ((29.5633, -95.2858)-('29.5633', '-95.2858'))
red hat	427e8f37-684f-1cdf-cc36-a1ee0faf9701	1	1	0	0	NC	US	(35.8233, -78.8258)	NC	US	(35.8233, -78.8258)	0.0	0.0	0.0	N/A	((35.8233, -78.8258)-('35.8233', '-78.8258'))
mediatek	966efef7-4761-e17c-5410-c807e402cbd1	12	12	11	11		TW	(24.1433, 120.6814)		TW	(24.1433, 120.6814)	0.0	0.0	0.0	0.0	((24.1433, 120.6814)-('24.1433', '120.6814')); ((42.6111, -71.575)-('42.6111', '-71.575')); ((51.3, -0.7333)-('51.3', '-0.7333')); ((47.7391, 18.1267)-('47.7391', '18.1267')); ((58.4108, 15.6214)-('58.4108', '15.6214')); ((55.2083, -2.0784)-('55.2083', '-2.0784')); ((50.9, 4.7)-('50.9', '4.7')); ((5.45, 10.0667)-('5.45', '10.0667')); ((48.9167, 130.4167)-('48.9167', '130.4167')); ((33.3467, 113.2247)-('33.3467', '113.2247')); ((32.7153, -117.1564)-('32.7153', '-117.1564')); ((26.5622, 119.9331)-('26.5622', '119.9331'))
juniper networks	1640561b-1b78-c60f-d3e6-203511b47268	3	3	2	2	CA	US	(37.2872, -121.9489)	CA	US	(37.2872, -121.9489)	0.0	0.0	0.0	0.0	((37.2872, -121.9489)-('37.2872', '-121.9489')); ((-33.8615, 151.2055)-('-33.8615', '151.2055')); ((45.5236, -122.675)-('45.5236', '-122.675'))
cirrus logic	5e8eb2c3-17af-8b41-00e4-af1e61531bc5	14	14	13	13	TX	US	(30.2669, -97.7428)	TX	US	(30.2669, -97.7428)	0.0	0.0	0.0	0.0	((30.2669, -97.7428)-('30.2669', '-97.7428')); ((55.8333, -3.0833)-('55.8333', '-3.0833')); ((32.2217, -110.9258)-('32.2217', '-110.9258')); ((40.015, -105.27)-('40.015', '-105.27')); ((18.5333, 73.8667)-('18.5333', '73.8667')); ((35.4437, 139.638)-('35.4437', '139.638')); ((37.5833, 139.9167)-('37.5833', '139.9167')); ((37.3394, -121.8939)-('37.3394', '-121.8939')); ((35.3406, -102.6822)-('35.3406', '-102.6822')); ((33.0889, -96.8861)-('33.0889', '-96.8861')); ((51.7439, -2.279)-('51.7439', '-2.279')); ((13.0167, 77.6804)-('13.0167', '77.6804')); ((45.2517, 19.8369)-('45.2517', '19.8369')); ((13.0833, 80.2833)-('13.0833', '80.2833'))
air liquide	91f07518-0d04-314e-f606-ed4901b8b924	7	7	6	6	PA	US	(40.6083, -75.4906)	PA	US	(40.6083, -75.4906)	0.0	0.0	0.0	0.0	((40.6083, -75.4906)-('40.6083', '-75.4906')); ((51.2167, -0.5667)-('51.2167', '-0.5667')); ((55.2083, -2.0784)-('55.2083', '-2.0784')); ((29.7631, -95.3631)-('29.7631', '-95.3631')); ((38.9694, -77.3864)-('38.9694', '-77.3864')); ((39.1619, -84.4569)-('39.1619', '-84.4569')); ((50.2, 8.5833)-('50.2', '8.5833'))
micron technology	f2228766-a19f-97d4-64e8-f197718c86df	4	4	3	3		JP	(35.6558, 139.3239)		JP	(35.6558, 139.3239)	0.0	0.0	0.0	0.0	((35.6558, 139.3239)-('35.6558', '139.3239')); ((45.5667, 9.35)-('45.5667', '9.35')); ((42.6583, -83.15)-('42.6583', '-83.15')); ((55.8333, -3.0833)-('55.8333', '-3.0833'))
lexmark	3581f919-28cd-9b16-097a-cee4831e3f3b	2	2	1	1	AL	US	(33.5206, -86.8025)	AL	US	(33.5206, -86.8025)	0.0	0.0	0.0	N/A	((33.5206, -86.8025)-('33.5206', '-86.8025')); ((44.8586, -93.6614)-('44.8586', '-93.6614'))
carefusion	4ccd2e5d-7547-bf79-8ab2-5bb720517adc	1	1	0	0	MA	US	(42.5997, -71.3678)	MA	US	(42.5997, -71.3678)	0.0	0.0	0.0	N/A	((42.5997, -71.3678)-('42.5997', '-71.3678'))
